ticker,date,close
XOM,2019-11-12,69.37
XOM,2019-11-11,70.34
XOM,2019-11-08,70.77
XOM,2019-11-07,73.01
XOM,2019-11-06,71.49
XOM,2019-11-05,73.09
XOM,2019-11-04,71.67
XOM,2019-11-01,69.6
XOM,2019-10-31,67.57
XOM,2019-10-30,67.72
XOM,2019-10-29,68.44
XOM,2019-10-28,68.64
XOM,2019-10-25,69.25
XOM,2019-10-24,69.09
XOM,2019-10-23,69.75
XOM,2019-10-22,69.09
XOM,2019-10-21,68.74
XOM,2019-10-18,67.61
XOM,2019-10-17,68.14
XOM,2019-10-16,68.23
XOM,2019-10-15,69.42
XOM,2019-10-14,69.18
XOM,2019-10-11,68.98
XOM,2019-10-10,68.25
XOM,2019-10-09,67.44
XOM,2019-10-08,66.7
XOM,2019-10-07,68.02
XOM,2019-10-04,68.97
XOM,2019-10-03,67.98
XOM,2019-10-02,67.15
XOM,2019-10-01,68.95
XOM,2019-09-30,70.61
XOM,2019-09-27,71.48
XOM,2019-09-26,70.97
XOM,2019-09-25,71.35
XOM,2019-09-24,71.14
XOM,2019-09-23,72.13
XOM,2019-09-20,72.08
XOM,2019-09-19,72.33
XOM,2019-09-18,72.82
XOM,2019-09-17,73.17
XOM,2019-09-16,73.73
XOM,2019-09-13,72.64
XOM,2019-09-12,71.98
XOM,2019-09-11,71.93
XOM,2019-09-10,72.07
XOM,2019-09-09,71.49
XOM,2019-09-06,70.93
XOM,2019-09-05,70.27
XOM,2019-09-04,69.29
XOM,2019-09-03,68.56
XOM,2019-08-30,68.48
XOM,2019-08-29,68.43
XOM,2019-08-28,67.68
XOM,2019-08-27,67.19
XOM,2019-08-26,67.85
XOM,2019-08-23,67.49
XOM,2019-08-22,69.57
XOM,2019-08-21,69.72
XOM,2019-08-20,69.03
XOM,2019-08-19,69.45
XOM,2019-08-16,68.3
XOM,2019-08-15,67.25
XOM,2019-08-14,67.65
XOM,2019-08-13,70.49
XOM,2019-08-12,69.63
XOM,2019-08-09,70.84
XOM,2019-08-08,72.38
XOM,2019-08-07,70.5
XOM,2019-08-06,70.96
XOM,2019-08-05,70.28
XOM,2019-08-02,71.75
XOM,2019-08-01,72.46
XOM,2019-07-31,74.36
XOM,2019-07-30,75.35
XOM,2019-07-29,75.34
XOM,2019-07-26,74.81
XOM,2019-07-25,74.93
XOM,2019-07-24,75.36
XOM,2019-07-23,75.37
